id,customer_id,create_timestamp,name,name_lower,description,archiving_timestamp
764,49,2019-08-06 21:26:03,0015 - Subscriber Campaign - BSA,0015 - subscriber campaign - bsa,,
765,1,2019-08-15 18:02:35,0249 - BI Atlantic Integration Enhancement,0249 - bi atlantic integration enhancement,,
766,1,2019-08-15 18:48:57,0250 - MTS NM1 Integration,0250 - mts nm1 integration,,
767,47,2019-08-15 22:37:22,0004 - MicroStrategy - Ad Hoc Consulting - 2019,0004 - microstrategy - ad hoc consulting - 2019,,
768,1,2019-09-12 17:35:34,0251 - CE ODS Program,0251 - ce ods program,,
769,1,2019-09-12 17:55:35,0252 - Integration Enhancement (ATL),0252 - integration enhancement (atl),,
770,49,2019-09-18 15:31:00,0014 - TADS Dev Ops CL01,0014 - tads dev ops cl01,,
771,1,2019-09-18 18:07:59,0216 - BI Enhancement Ph03 CL01,0216 - bi enhancement ph03 cl01,,
772,1,2019-09-24 19:05:35,0253 - Competitive Insights FB,0253 - competitive insights fb,,
773,1,2019-10-17 15:14:30,0247 - MyBell Personalization (Omniture),0247 - mybell personalization (omniture),,
774,1,2019-10-17 15:15:25,0247 - NPA Compressed,0247 - npa compressed,,
775,1,2019-10-17 15:22:46,0247 - MTS TV & Internet in NM1,0247 - mts tv & internet in nm1,,
776,1,2019-10-18 16:00:49,0248 - Promo Proration,0248 - promo proration,,
777,1,2019-10-26 12:09:37,0254 - Customer Authentication,0254 - customer authentication,,
778,1,2019-10-26 18:20:47,0247 - Microstrategy for OTSS,0247 - microstrategy for otss,,
779,1,2019-10-26 18:31:53,0247 - MediaFirst CR,0247 - mediafirst cr,,
780,1,2019-10-27 12:36:14,0255 - VOLT,0255 - volt,,
781,1,2019-10-27 12:36:52,0255 - ALT TV in NM1,0255 - alt tv in nm1,,
782,1,2019-11-04 20:55:31,0241 - Form Tool – Custom Enhancements,0241 - form tool – custom enhancements,,
783,1,2019-11-05 17:51:41,0247 - Logged In Support – Templates for Flows,0247 - logged in support – templates for flows,,
784,55,2019-11-08 20:24:51,0003 - 2019 MSTR Retainer,0003 - 2019 mstr retainer,,
785,49,2019-11-09 23:07:08,0013 - TADS CL03,0013 - tads cl03,,
786,49,2019-11-17 04:34:12,0017 - TADS & Verticalization Pipeline,0017 - tads & verticalization pipeline,,
787,1,2019-11-21 18:10:02,0256 - IT BI Project Delivery Fixed Bid,0256 - it bi project delivery fixed bid,,
788,1,2019-11-25 19:39:40,0259 - ISC and Incentives,0259 - isc and incentives,,
789,1,2019-11-26 17:34:16,0258 - Competitive Insights Ph02 Fixed Bid,0258 - competitive insights ph02 fixed bid,,
790,1,2019-11-27 21:00:51,0260 - BI Atlantic Integration Enhancement Extension,0260 - bi atlantic integration enhancement extension,,
791,56,2019-11-28 14:02:28,0001 - Sirius Business Case Project,0001 - sirius business case project,Data Strategy and Business Case Development,
792,1,2019-12-03 14:11:04,0257 - IT BI Infra Program,0257 - it bi infra program,,
793,1,2019-12-03 16:03:24,0261 - Speech to Text Technologies,0261 - speech to text technologies,,
794,54,2019-12-03 20:21:06,0005 - Tableau Support 2019,0005 - tableau support 2019,,
795,49,2019-12-11 19:31:22,0018 - Data Foundation 2020 – Delivery Management,0018 - data foundation 2020 – delivery management,,
796,49,2019-12-11 21:12:25,0019 - TADS Vertical & Lookalikes,0019 - tads vertical & lookalikes,,
797,1,2019-12-20 18:07:45,0256 - MSTR Pulse - BSA Onboarding,0256 - mstr pulse - bsa onboarding,,
798,1,2020-01-07 17:11:44,0245 - Microstrategy for OTSS,0245 - microstrategy for otss,,
799,1,2020-01-13 20:22:17,0262 - Next Best Action,0262 - next best action,,
800,8,2020-01-15 14:55:24,Tableau,tableau,,
801,1,2020-02-03 19:44:14,0248 - FoNSE VOLT,0248 - fonse volt,,
802,53,2020-02-03 23:04:40,0002 - PMO Tableau Support,0002 - pmo tableau support,,
803,49,2020-02-23 12:27:01,0020 - Flash 2020 v.2.1,0020 - flash 2020 v.2.1,,
804,1,2020-03-17 14:51:55,0248 - Packrat,0248 - packrat,,
805,1,2020-03-19 15:58:48,0258 - WHI PH4,0258 - whi ph4,,
806,8,2020-04-20 13:54:24,Metadata Conversion,metadata conversion,Metadata Conversion from MSTR to Tableau,
807,1,2020-04-25 23:09:15,0263 - IMS Hadoop Data Engineer (Duplicate),0263 - ims hadoop data engineer (duplicate),,2020-05-17 15:49:04
808,1,2020-05-04 15:44:34,0264 - VOLT PPS MSTR Reporting,0264 - volt pps mstr reporting,,
809,1,2020-05-17 02:47:10,0266 - Numeris Data Engineering,0266 - numeris data engineering,,
810,1,2020-05-19 21:42:25,0265 - Bell.ca COVID-19 Program,0265 - bell.ca covid-19 program,,
811,25,2020-05-20 15:25:34,0009 - 2020 Support Services,0009 - 2020 support services,,
812,8,2020-06-01 15:29:37,0007 - PXLTD 2020 Website Redesign,0007 - pxltd 2020 website redesign,,
813,1,2020-06-08 15:31:44,0267 - HUG SPC and Order Tracking,0267 - hug spc and order tracking,,
814,8,2020-06-09 12:51:38,0008 - Strategy Cascade,0008 - strategy cascade,,
815,58,2020-07-22 01:35:35,0002 - Visualization Consulting,0002 - visualization consulting,,
816,1,2020-07-24 12:09:11,0268 - SingleBan,0268 - singleban,,
